iter	Logloss
0	0.6506877195
1	0.619659969
2	0.5942701316
3	0.5781937338
4	0.5674624949
5	0.5558253132
6	0.5439003638
7	0.5362054104
8	0.528240665
9	0.5243192769
10	0.5210715947
11	0.5177172656
12	0.5127689864
13	0.5079211316
14	0.5066148112
15	0.5048506186
16	0.503212188
17	0.5015870636
18	0.5003514898
19	0.4991189015
20	0.4973731093
21	0.4950306534
22	0.4942011263
23	0.4930317375
24	0.4921619429
25	0.4911086031
26	0.4902394108
27	0.4895741253
28	0.4891296496
29	0.4886664093
30	0.4883902726
31	0.4871035241
32	0.4866927299
33	0.4862055031
34	0.4853530925
35	0.4848963041
36	0.4844046567
37	0.4839546749
38	0.4835226524
39	0.483230425
40	0.4826678484
41	0.4821810556
42	0.4815565768
43	0.481008391
44	0.4806324675
45	0.4799352131
46	0.479411809
47	0.4788067769
48	0.4783891397
49	0.4781323916
50	0.4776868622
51	0.4773220352
52	0.4770214818
53	0.4768442706
54	0.476375262
55	0.4757425414
56	0.4753839881
57	0.4750271539
58	0.4748040997
59	0.4744236122
60	0.4737603077
61	0.4729235024
62	0.4727111226
63	0.4721667148
64	0.4717798316
65	0.4714690908
66	0.4710723215
67	0.4706450039
68	0.4703801729
69	0.4700947913
70	0.4699710595
71	0.4697768864
72	0.4694678559
73	0.4690534484
74	0.4687914466
75	0.4682381081
76	0.4677087209
77	0.46748362
78	0.4671067632
79	0.4668355167
80	0.4664492799
81	0.4660321522
82	0.4655550935
83	0.4648852304
84	0.4645809368
85	0.4643933055
86	0.4640404673
87	0.4637678095
88	0.4634462541
89	0.4631919205
90	0.4629246714
91	0.4625500151
92	0.4622430469
93	0.461985097
94	0.4616696812
95	0.4614450315
96	0.4612578608
97	0.4606844457
98	0.4601556865
99	0.459658764
100	0.4595295349
101	0.4593422237
102	0.4590095083
103	0.4586182568
104	0.458414542
105	0.4582683634
106	0.4578976406
107	0.4575205416
108	0.4572174774
109	0.456679793
110	0.4564232396
111	0.4562092793
112	0.455838538
113	0.4554321321
114	0.4551912103
115	0.4548716843
116	0.4546310539
117	0.4544612732
118	0.4542967447
119	0.4540691676
120	0.4539244675
121	0.453473603
122	0.4530514898
123	0.4526273863
124	0.4521500495
125	0.4518572611
126	0.4515982659
127	0.4514015055
128	0.4512802649
129	0.4511643246
130	0.4507005269
131	0.4503030129
132	0.4501076156
133	0.449856219
134	0.449562248
135	0.4493625876
136	0.449238613
137	0.449147116
138	0.4489951148
139	0.4487398931
140	0.4487070483
141	0.4484444705
142	0.4481634919
143	0.4479809179
144	0.4476592431
145	0.4473342622
146	0.447048593
147	0.446918324
148	0.4466487616
149	0.4465328213
