iter	Passed	Remaining
0	50	7534
1	53	3986
2	57	2806
3	62	2298
4	66	1929
5	70	1681
6	74	1526
7	79	1409
8	83	1315
9	87	1223
10	90	1148
11	94	1085
12	98	1033
13	101	985
14	105	946
15	108	911
16	112	878
17	115	850
18	119	824
19	123	801
20	127	781
21	132	770
22	135	750
23	139	731
24	142	714
25	146	698
26	155	707
27	162	706
28	168	702
29	178	715
30	186	715
31	192	710
32	196	696
33	201	688
34	206	677
35	210	667
36	215	657
37	222	656
38	226	645
39	231	637
40	236	629
41	242	624
42	251	624
43	259	625
44	267	624
45	275	622
46	283	620
47	289	614
48	296	612
49	301	603
50	312	606
51	320	603
52	328	600
53	332	591
54	336	581
55	341	573
56	347	566
57	357	566
58	365	564
59	371	556
60	377	550
61	383	544
62	392	542
63	396	532
64	399	522
65	403	513
66	406	503
67	409	493
68	413	484
69	416	475
70	419	466
71	423	458
72	426	449
73	430	441
74	434	434
75	439	427
76	443	420
77	446	412
78	449	404
79	456	399
80	460	392
81	465	385
82	470	380
83	475	373
84	482	368
85	485	361
86	490	355
87	495	348
88	499	342
89	503	335
90	507	328
91	510	321
92	514	315
93	517	308
94	520	301
95	524	294
96	527	288
97	530	281
98	534	275
99	538	269
100	541	262
101	545	256
102	548	250
103	552	244
104	555	238
105	558	231
106	562	225
107	565	219
108	569	214
109	572	208
110	576	202
111	579	196
112	583	190
113	586	185
114	589	179
115	594	174
116	600	169
117	610	165
118	620	161
119	625	156
120	629	150
121	632	145
122	636	139
123	639	134
124	643	128
125	646	123
126	649	117
127	653	112
128	656	106
129	660	101
130	663	96
131	666	90
132	670	85
133	673	80
134	676	75
135	680	70
136	686	65
137	691	60
138	694	54
139	698	49
140	701	44
141	705	39
142	708	34
143	712	29
144	715	24
145	718	19
146	721	14
147	725	9
148	728	4
149	732	0
